review_id,Ulasan,model_text,gold_kelas_asli,gold_subclass,kelas_terdeteksi_asli,subclass_terdeteksi
PAKAR-0218,petugas gerak cepat dan ramah.,petugas gerak cepat ramah,KLASIFIKASI SERVICE 020,1F,['Service O2O'],['1A']
PAKAR-0219,untuk layanan pengaduan sekarang cukup bagus.,layanan pengaduan sekarang cukup bagus,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0220,pelayanan cepat dan mudah. sangat puas ! terima kasih pln mobile,pelayanan cepat mudah sangat puas terima kasih pln mobile,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0221,lumayan efisien sih tapi sayang kenapa harus ada batasan nya di nya kalo isi sudah tidak bisa isi lagi yaa merepotkan,lumayan efisien sayang batasan kalo isi tidak bisa isi yaa merepotkan,KLASIFIKASI UMUM,3F,[],[]
PAKAR-0222,"aplikasi jelek, saat mau update profil nomor hp, tidak bisa, notifikasi muncul sudah pernah terdaftar, tapi mau login pakai nomor hp yang terdaftar tidak ada juga menu loginnya.",aplikasi jelek mau update profil nomor hp tidak bisa notifikasi muncul pernah terdaftar mau login pakai nomor hp terdaftar tidak menu loginnya,KLASIFIKASI REGISTRATION,5F,['Registration'],"['5A', '5E']"
PAKAR-0223,"aplikasinya sangan membantu, ada info apabila ada pemadaman dan estimasi nyala serta banyak promonya",aplikasinya sangan membantu info apabila pemadaman estimasi nyala banyak promonya,KLASIFIKASI FEATURE DESIGN,4C,['Service O2O'],['1A']
PAKAR-0224,"aplikasi bermanfaat. layanan pengaduan jam, solutif. petugas ramah dan responsif. mantap.",aplikasi bermanfaat layanan pengaduan jam solutif petugas ramah responsif mantap,KLASIFIKASI FEATURE DESIGN,4D,['Service O2O'],['1A']
PAKAR-0225,aplikasi ini sangat penting untuk kami dan baik,aplikasi sangat penting baik,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0226,aplikasi sangat membantu mempermudah pelanggan,aplikasi sangat membantu mempermudah pelanggan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0227,tidak bisa daftar pasang baru sekarang. tolong di perbaiki erro mulu,tidak bisa daftar pasang baru sekarang perbaiki erro mulu,KLASIFIKASI FEATURE ERROR,2F,['Service O2O'],['1C']
PAKAR-0228,"dalam pengerjaan selalu cepat tanggap, pertahankan dan lebih di tingkatkan saya pengguna pln tanks",pengerjaan selalu cepat tanggap pertahankan lebih tingkatkan pengguna pln tanks,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0229,dengan adanya pln mobile pelaporan dan keluhan masalah listrik bisa segera teratasi. terima kasih pln mobile.,adanya pln mobile pelaporan keluhan masalah listrik bisa segera teratasi terima kasih pln mobile,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0230,sangat recomend apk.smuax makin mudah,sangat recomend aplikasi smuax makin mudah,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0231,"terima kasih aplikasi yang sangat membantu, respon pengaduan juga sangat cepat ditindaklanjuti",terima kasih aplikasi sangat membantu respon pengaduan sangat cepat ditindaklanjuti,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0232,pln memang sangat luar biasa,pln memang sangat luar biasa,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0233,"pengaduan sampe kali tidak dikerjain, tau tau selesai",pengaduan sampe kali tidak dikerjain tau tau selesai,KLASIFIKASI SERVICE 020,1I,[],[]
PAKAR-0234,pln is the best,pln is the best,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0235,aplikasi yang sangat membantu untuk pelaporan gangguan dan penanganan semakin cepat dan mudah,aplikasi sangat membantu pelaporan gangguan penanganan semakin cepat mudah,KLASIFIKASI SERVICE 020,1A,[],[]
PAKAR-0237,ini di aplikasi untuk pemasangan baru ada pilihan yang . tapi pada kenyataannya tanya ke orang pln kok ndak ada ya? kalo emang ndak ada ya gausah dikasih pilihan dong min,aplikasi pemasangan baru pilihan kenyataannya tanya orang pln ndak kalo emang ndak gausah dikasih pilihan min,KLASIFIKASI FEATURE DESIGN,4B,['Service O2O'],['1C']
PAKAR-0238,"aplikasi ini sangat membantu, semoga bisa terus berkembang dan memberikan pelayanan terbaik.",aplikasi sangat membantu semoga bisa terus berkembang memberikan pelayanan terbaik,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0239,"untuk selanjutnya apakah memungkan untuk pembelian token langsung bisa masuk pada mesin meteran tanpa input manual, sepwrti kita beli pulsa hp",selanjutnya memungkan pembelian token langsung bisa masuk mesin meteran input manual sepwrti beli pulsa hp,KLASIFIKASI FEATURE DESIGN,4K,['Feature Error'],['2B']
PAKAR-0240,"membantu sekali, pelayanan ramah",membantu sekali pelayanan ramah,KLASIFIKASI SERVICE 020,1F,[],[]
PAKAR-0241,"aplikasi ini sangat memudahkan proses transaksi pembayaran pln, membantu buat kami yang berada di wilayah terpencil, memudahkan pengaduan dan memberikan antisipasi terhadap gangguan yang akan terjadi",aplikasi sangat memudahkan proses transaksi pembayaran pln membantu buat berada wilayah terpencil memudahkan pengaduan memberikan antisipasi gangguan terjadi,KLASIFIKASI UMUM,3A,['Feature Error'],['2B']
PAKAR-0242,aplikasi yang sangat baik dan bermanfaat,aplikasi sangat baik bermanfaat,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0243,"petugas selalu cepat tanggap, terima kasih sudah memberikan pelayanan terbaik bagi pelanggan.",petugas selalu cepat tanggap terima kasih memberikan pelayanan terbaik pelanggan,KLASIFIKASI SERVICE 020,1B,['Service O2O'],['1A']
PAKAR-0244,kami sangat puas dengan pelayanan petugas,sangat puas pelayanan petugas,KLASIFIKASI SERVICE 020,1F,['Service O2O'],['1A']
PAKAR-0245,mks pln sudah memberikan partnershipln mubile.mks pln,mks pln memberikan partnershipln mobile mks pln,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0246,terima kasih pln sangat aplikadi stvsangt baik buat gangguan,terima kasih pln sangat aplikadi stvsangt baik buat gangguan,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0249,pelayanan ok. cepat dan satpamnya ramah,pelayanan cepat satpamnya ramah,KLASIFIKASI SERVICE 020,1E,[],[]
PAKAR-0250,"dengan adanya pln mobile semua jadi mudah.mulai dari pasang baru meteran,tambah daya.cek tagihan listrik.melapor gangguan listrik praktis banget.apa lagi tampilan aplikasinya mudah di mengerti.maju terus pln",adanya pln mobile semua mudah mulai pasang baru meteran tambah daya cek tagihan listrik melapor gangguan listrik praktis banget apa tampilan aplikasinya mudah mengerti maju terus pln,KLASIFIKASI FEATURE DESIGN,4E,['Service O2O'],"['1A', '1C']"
PAKAR-0251,"kenapa di hp ku tidak bisa di buka,padhl tidak pernh di root.",hp ku tidak bisa buka padhl tidak pernh root,KLASIFIKASI FEATURE ERROR,2A,[],[]
PAKAR-0253,"langsung,di respon oleh pln terkait",langsung respon pln terkait,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0254,baik pelayanannya oke gerak cepat makasi banyak pln mobile kalau ada reting saya reting deh sgitu,baik pelayanannya oke gerak cepat makasi banyak pln mobile reting reting sgitu,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0255,layanan yang mudah di aplikasikan. dan memudahkan pengguna untuk melakukan pengaduan gangguan kelistrikan.,layanan mudah aplikasikan memudahkan pengguna melakukan pengaduan gangguan kelistrikan,KLASIFIKASI FEATURE DESIGN,4D,['Service O2O'],['1A']
PAKAR-0256,mantap pelayanan nya sangat baik,mantap pelayanan sangat baik,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0257,pln mobile luar biasa dengan fitur yang sangat membantu gass ratakann,pln mobile luar biasa fitur sangat membantu gass ratakan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0258,"aplikasinya bagus,mudah di pakai",aplikasinya bagus mudah pakai,KLASIFIKASI FEATURE DESIGN,4E,[],[]
PAKAR-0259,baik aplikasinya mudah di gunakan,baik aplikasinya mudah gunakan,KLASIFIKASI FEATURE DESIGN,4E,[],[]
PAKAR-0260,kalo misalkan ngadu ingin memindahkan tiang listrik itu bagaimana ya min?,kalo misalkan ngadu memindahkan tiang listrik bagaimana min,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0261,histori penggunaan kok error sih,histori penggunaan error,KLASIFIKASI FEATURE DESIGN,4F,[],[]
PAKAR-0262,aplikasinya sangat baik dan cepat penanganan pengaduan memang pln terbaik,aplikasinya sangat baik cepat penanganan pengaduan memang pln terbaik,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0263,sangat terbantu sekali dengan aplikasi ini,sangat terbantu sekali aplikasi,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0264,penanganan cepat terima kasih pln,penanganan cepat terima kasih pln,KLASIFIKASI SERVICE 020,1B,[],[]
PAKAR-0265,error ketika memasukkan nomor hp.,error memasukkan nomor hp,KLASIFIKASI REGISTRATION,5F,['Registration'],['5E']
PAKAR-0266,semoga lebih baik pelayanan kedepan nya.,semoga lebih baik pelayanan kedepan,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0267,aplikasi pln mudah digunakan dan sangat bermanfaat,aplikasi pln mudah digunakan sangat bermanfaat,KLASIFIKASI FEATURE DESIGN,4E,[],[]
PAKAR-0270,selalu berikan yang terbaik. terima kasih pln,selalu berikan terbaik terima kasih pln,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0271,aplikasi yang membantu dan mudah digunakan dimana saja,aplikasi membantu mudah digunakan,KLASIFIKASI FEATURE DESIGN,4E,[],[]
PAKAR-0272,nice. aplikasi ini sangat membantu saya pribadi maupun bgi bnyk orang sebagai para pelanggan pln,nice aplikasi sangat membantu pribadi maupun bgi bnyk orang pelanggan pln,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0273,aplikasi pln mobile sangat membantu pelanggan dalam menyampaikan keluhan ataupun gangguan terkait kelistrikan. respon sangat cepat. maju terus pln,aplikasi pln mobile sangat membantu pelanggan menyampaikan keluhan ataupun gangguan terkait kelistrikan respon sangat cepat maju terus pln,KLASIFIKASI SERVICE 020,1B,['Feature Error'],['2C']
PAKAR-0274,untuk proses tambah daya mudah sangat membantu. terima kasih pln,proses tambah daya mudah sangat membantu terima kasih pln,KLASIFIKASI FEATURE DESIGN,4B,['Service O2O'],['1C']
PAKAR-0275,"informasi cepat diterima, lbih mudah pembelian token",informasi cepat diterima lbih mudah pembelian token,KLASIFIKASI FEATURE DESIGN,4A,['Feature Error'],['2B']
PAKAR-0276,update info pln lebih mudah,update info pln lebih mudah,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0278,listrik di rumah terasa tidak stabil jangan diabaikan kondisi spanning bisa menjadi tanda awal gangguan kelistrikan yang berisiko menimbulkan kerusakan alat elektronik hingga kebakaran jika mengalami tandatanda ini segera laporkan melalui pln mobile,listrik rumah terasa tidak stabil jangan diabaikan kondisi spanning bisa menjadi tanda awal gangguan kelistrikan berisiko menimbulkan kerusakan alat elektronik kebakaran mengalami tandatanda segera laporkan melalui pln mobile,KLASIFIKASI FEATURE DESIGN,4D,[],[]
PAKAR-0280,barang siapa mempermudah urusan orang lain niscaya allah akan memudahkan urusan di dunia dan akhirat itu seperti pln mobile yang memudahkan segala urusan tentang kelistrikan semoga pln semakin jaya,barang siapa mempermudah urusan orang niscaya allah memudahkan urusan dunia akhirat pln mobile memudahkan segala urusan kelistrikan semoga pln semakin jaya,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0281,pln mobile aplikasi yang sangat membantu dan memudahkan mulai dari cek tagihanbeli tokenbayar listrik bulananhingga sampai pengajuan dan laporan gangguan juga bisa ditambah dengan fitur yang semakin kerenpln mobile handal terbaik dan mantap terima kasih,pln mobile aplikasi sangat membantu memudahkan mulai cek tagihanbeli tokenbayar listrik bulananhingga pengajuan laporan gangguan bisa ditambah fitur semakin kerenpun mobile handal terbaik mantap terima kasih,KLASIFIKASI UMUM,3A,['Service O2O'],['1A']
PAKAR-0282,sinergi layanan pln kepada pelanggan pln mobile benarbenar memudahkan urusan listrik dari pembelian token cek tagihan hingga laporan gangguan semua bisa dilakukan di satu aplikasi mantap pln,sinergi layanan pln pelanggan pln mobile benarbenar memudahkan urusan listrik pembelian token cek tagihan laporan gangguan semua bisa dilakukan satu aplikasi mantap pln,KLASIFIKASI UMUM,3A,"['Feature Error', 'Service O2O']","['1A', '2B']"
PAKAR-0283,jangan biarkan urusan listrik menghambat produktivitasmu pantau bayar dan adukan masalah hanya dalam satu aplikasi ya itu pln mobile,jangan biarkan urusan listrik menghambat produktivitasmu pantau bayar adukan masalah satu aplikasi pln mobile,KLASIFIKASI UMUM,3A,['Feature Error'],['2C']
PAKAR-0284,aplikasi pln mobile sangat membantu saya dalam melakukan transaksi listrik mudah digunakan cepat dan aman saya bisa membayar tagihan listrik mengecek penggunaan listrik dan bahkan mengajukan permohonan listrik baru dengan mudah terima kasih pln,aplikasi pln mobile sangat membantu melakukan transaksi listrik mudah digunakan cepat aman bisa membayar tagihan listrik mengecek penggunaan listrik bahkan mengajukan permohonan listrik baru mudah terima kasih pln,KLASIFIKASI FEATURE DESIGN,4A,['Feature Error'],"['2B', '2C']"
PAKAR-0286,aplikasi pln mobile sangatlah mempermudahkan saya dalam melakukan aktivitas saya yang bersangkutan dengan hal menyangkut kelistrikanpln,aplikasi pln mobile sangatlah mempermudahkan melakukan aktivitas bersangkutan menyangkut kelistrikanpln,KLASIFIKASI UMUM,3A,['Feature Error'],['2C']
PAKAR-0287,dimana punkapan pun bisadengan aplikasi pln mobilesemua jadi mudah,unkapan bisadengan aplikasi pln mobilesemua mudah,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0288,overall pln mobile adalah solusi listrik pintar yang wajib diinstall,overall pln mobile solusi listrik pintar wajib diinstall,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0289,pengaduan yang diajukan melalui pln mobile langsung direspons dengan cepat oleh petugas yang melayani dengan baik,pengaduan diajukan melalui pln mobile langsung direspons cepat petugas melayani baik,KLASIFIKASI SERVICE 020,1B,['Service O2O'],['1A']
PAKAR-0291,repost ketika kamu melihat adanya gangguan kelistrikan di sekitarmu seperti korslet atau bahkan percikan api pada tiang listrik yang tentunya membahayakan masyarakat laporkan segera gangguan tersebut dengan cepat melalui fitur pengaduan di pln mobile,repost melihat adanya gangguan kelistrikan sekitarmu korslet bahkan percikan api tiang listrik tentunya membahayakan masyarakat laporkan segera gangguan cepat melalui fitur pengaduan pln mobile,KLASIFIKASI FEATURE DESIGN,4D,['Feature Error'],['2D']
PAKAR-0292,repost geser dongg yup pln mobile sekarang hadir dengan tampilan yang lebih segar lengkap dengan berbagai fitur yang memenuhi kebutuhan kelistrikan kita mulai dari bayar listrik pra dan pascabayar catat meter mandiri,repost geser dongg yup pln mobile sekarang hadir tampilan lebih segar lengkap berbagai fitur memenuhi kebutuhan kelistrikan mulai bayar listrik pra pascabayar catat meter mandiri,KLASIFIKASI FEATURE DESIGN,4E,"['Feature Error', 'Service O2O']","['1D', '2H']"
PAKAR-0293,aplikasi pln mobile sangat membantu layanan jadi lebih cepat dan praktis mulai dari cek tagihan pembelian token sampai lapor gangguan semuanya mudah tampilan aplikasinya juga makin baik dan responsif terima kasih pln semoga ke depannya makin ditingkatkan lagi,aplikasi pln mobile sangat membantu layanan lebih cepat praktis mulai cek tagihan pembelian token lapor gangguan semuanya mudah tampilan aplikasinya makin baik responsif terima kasih pln semoga depannya makin ditingkatkan,KLASIFIKASI FEATURE DESIGN,4E,"['Feature Error', 'Service O2O']","['1A', '2B', '2C']"
PAKAR-0294,aplikasi pln mobile sangat baik dan membantu banget buat saya yang tinggal di daerah t,aplikasi pln mobile sangat baik membantu banget buat tinggal daerah,KLASIFIKASI UMUM,3A,['Feature Error'],['2C']
PAKAR-0295,gemes banget aplikasi pln mobile bikin bayar listrik jadi gampang bisa cek tagihan isi token sama lapor gangguan tanpa rumit cukup download daftar dan kamu siap sangat membantu tidak perlu antri lagi di loket semua bisa diurus lewat aplikasi fiturfiturnya lengkap dan mudah dipake saya suka designnya simpel dan intuitif cek riwayat transaksi juga bisa jadi tidak takut lupa bayar,gemes banget aplikasi pln mobile bikin bayar listrik gampang bisa cek tagihan isi token sama lapor gangguan rumit cukup download daftar siap sangat membantu tidak perlu antri loket semua bisa diurus lewat aplikasi fiturfiturnya lengkap mudah dipake suka designnya simpel intuitif cek riwayat transaksi bisa tidak takut lupa bayar,KLASIFIKASI FEATURE DESIGN,4E,"['Feature Error', 'Service O2O']","['1A', '2B', '2C']"
PAKAR-0296,mudah digunakan aplikasi pln mobile sangat membantu untk prlayann listrikdari swcmpembelian token pembyran tgihan listrikpasang baru paunun tmbh daya dan laporan gangguanmash banyak yang lainnya di dalam app pln mobail terbaik pokoknya,mudah digunakan aplikasi pln mobile sangat membantu untk pelayann listrikdari swcmpembelian token pembyran tgihan listrikpasang baru panun tmbh daya laporan gangguanmash banyak lainnya app pln mobail terbaik pokoknya,KLASIFIKASI FEATURE DESIGN,4I,['Feature Error'],"['2B', '2C']"
PAKAR-0297,ada fitur pln mobile sangat membantu,fitur pln mobile sangat membantu,KLASIFIKASI UMUM,3A,[],[]
PAKAR-0300,ada masalah dengan listrik di rumah anda aplikasi pln mobile solusinya,masalah listrik rumah aplikasi pln mobile solusinya,KLASIFIKASI UMUM,3A,['Feature Error'],['2C']
